d,b,t,r_out,n_r,n,mxx,myy,vx,vy,mzz,area,ixx,iyy,ixy,g_eff,utilization,section_param_id,section_type
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-706993.621694383,20999318.46904264,-930014.5587620065,-179324.3348729559,-147967.4872056984,8658481.47636287,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.5568050684844394,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-887167.336700813,-16082947.805811463,-10910496.745032258,24419.232442260196,44428.54598247114,17377557.51265031,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.42270247444054776,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-383287.1060381413,16385560.572261851,-24171053.551947147,128270.88178871293,-131269.93407831938,-5573612.641962953,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.44351510035335456,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-813713.1506812914,6052558.665915709,-16205340.495136946,259265.61558019958,-154732.54712659278,10625264.057715002,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.7876637833515993,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-532344.6824598645,12022041.25214671,-2723711.172595937,2586.525400623912,-97268.27783754055,19065538.954210684,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.3919394383760997,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,358726.290201813,-26126756.922183372,-4397352.907148171,60712.37278980855,-85745.57071640907,-20045443.322155103,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.4024173994549137,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,30772.330562992487,-27254691.601617634,7713965.015707701,203176.56228120218,139103.28955936932,10306492.400825039,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.5989388390430154,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-1001469.0613186349,27881036.91198827,21438510.798465572,-42501.06539112952,-104221.27402547214,-4037942.93375957,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.6012839279757647,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-910888.0210918231,8018843.191307198,-7834796.781606887,47688.27421315352,-133721.0097970735,13981987.68730802,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.5170839455742967,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-559443.8788354121,27123651.296502624,-811633.6996113136,235.60462316754274,151578.6443389742,15776110.033054471,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.45315101630046367,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-385628.45535402524,1948821.3333151937,6504446.894634113,68688.77549321909,156208.8640004224,13945593.616831847,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.46374690110229877,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,811579.6555166102,-17541772.684047133,-23339462.947355274,-73154.27804376933,152993.73067007074,-22312880.200056233,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.5628966260629408,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-83595.51886512118,19251527.002062585,29146684.910642833,164726.75291994354,72418.76890837488,2781527.32175849,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.46617990085470146,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,193689.8652756645,-26495421.14264983,-19661829.069680117,161969.43886512908,78883.31848072674,15132607.728094243,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.5847191936828274,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-575125.3955581856,-2500268.0654804595,24058431.388560407,180329.22519411624,53632.184933470795,20440255.656024963,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.6282194082097341,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-72592.5677921644,20005392.531217914,-5854451.75091688,72631.69621695508,101930.58310537599,-14398403.429213298,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.3850902608818797,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-347354.334989576,28080300.053231012,-5883335.116965864,-84845.60642752988,262652.78037993645,-2033622.6952140033,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.5394028712198661,4,rectangular_hollow_section
187.4774264502839,155.81820518405448,10.721940229360065,15.424909645326569,4,-954238.1289530988,-225418.94079094753,5042152.287410311,164086.0512215632,-233128.02379654863,-2412996.6639882475,6685.940561400686,6505753222453.1,4863942512950.454,-0.0234375,76923.07692307695,0.6396037581767257,4,rectangular_hollow_section
