d,b,t,r_out,n_r,section_param_id,n,mxx,myy,vx,vy,mzz,utilization
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-253231.6971973963,-88004.60671497136,-14679275.590417542,-164539.43697160896,68586.46041469078,-15473154.130847454,0.9008520237141522
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,620694.4902250809,3569329.3967134096,-6633320.416808527,31171.435382148717,201882.90259024722,21457901.36334355,0.8465578186870527
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-591948.0799690483,-23193560.853508,-8630712.607573487,-166095.8488278666,-24081.618780812598,-18510795.574170556,0.8374721228751331
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-791938.1632206665,-22646168.31662602,-13112652.785965424,212412.28609308257,206280.4858607957,14679942.093227923,1.1937980054849895
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-971203.4842398156,-16498715.568051504,-13689035.721545866,223481.69157531718,-195406.95172469656,-1769107.2116782218,1.1593554431506257
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,215483.0914960401,-17480526.4630148,-28497964.4198158,-207440.82335994393,263352.9741942043,20576850.040197,1.384225893273679
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-558915.9608370522,-22373962.387312934,-16590272.358766843,-120005.34607590293,144614.4023476707,13580167.096744485,0.8688106493534417
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,208127.57972865668,10828368.669544231,-26536710.648661926,-111576.92133068704,-63264.12823378958,1061150.3332208656,0.5764698959114469
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-679510.7004475773,-25122191.737758085,-12167207.764155824,-141802.4969316269,166593.58308424545,16669780.415175416,1.0652598412965681
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-289148.92115935835,-3065866.6180456653,-21564475.07896267,182080.69671956095,-204466.18133878364,10755499.106947277,1.1014207732287984
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-214660.8548484703,-24858314.268368933,-14352474.58248206,-64618.6340092998,151122.79564364825,1727130.2665261328,0.5200074770073038
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,696711.513337893,29443495.52590001,6627638.709735155,160410.74573622347,176519.91680390807,12903106.802549206,0.9599913857445573
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,955668.9326099991,-13801675.637103496,25636755.7216841,-126506.58374067058,112766.66471405403,-17359340.25005921,1.2830982417560166
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-637592.7713232238,-9477656.61104101,3736430.73373051,8371.647524830827,86043.69635183219,1795378.8859354071,0.5261465051450738
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,648268.1576893048,28591723.308457192,17561865.3155265,-64758.368196657364,23885.546785318467,20830165.787979938,0.9538000762403047
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,1044590.3666886296,19407791.998635802,-2662737.952470232,244393.91943276883,48631.87036757101,-10487748.665836085,1.2206922091321455
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-101753.22133824532,2271517.381086558,1566931.7425971143,-122167.39866548099,-204509.3858433013,-16847566.128853485,0.9492251027056525
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-160150.00184181402,3178061.528138712,-28718352.216732364,-42847.421517215786,19035.05204606487,14737764.392603546,0.49966319404551013
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-990278.7856805245,-8183075.433603387,19440256.53841515,-261308.8080841382,126557.72632255312,13225854.230863161,1.4846558671862737
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-46701.105867246166,-27449139.09859711,5193876.140704609,-93813.75313241789,100386.31176027155,-4512309.5314510465,0.5740247165343356
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,780605.8268575652,11872614.042438466,-21601460.655094046,-208577.82084529792,-245771.98656862037,16925391.684937708,1.2514750677167947
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,456270.4075501461,-25600668.763085257,-27516825.56984135,-183566.33660689509,-163892.33359856677,-1380223.9259664714,1.1538725870357032
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,956222.6221990834,6159746.704587448,8302854.194436416,85441.1719625633,210101.9470145385,-14080479.0510482,1.0478695839398688
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,911559.616532679,-24862186.300362557,-571162.836384397,-53328.51557687766,181874.07380180294,-22115412.817279752,1.0912894793934178
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,1020533.1835182554,203642.32080561668,-22772767.945352755,-174789.68290203233,-92771.61845918492,69635.48040658236,1.0960716207990258
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,386543.7972359825,-16207503.96469892,19318601.947230943,249735.12910391082,-179319.68509201487,3708008.0807800293,1.2369225462101903
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,719425.7343974668,-10400892.39093598,13156743.037424996,-189877.74317260325,-160117.31235370465,6017759.135248411,0.9961226723732467
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,169800.93087817542,26076324.446561728,28300475.72502225,-217869.35356281727,237857.18551096792,-17199319.37593659,1.3044850695575432
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,913803.6619173517,-6909351.854705818,-24081375.583834108,-214795.25014568082,-18991.81980441051,6780774.876590036,1.0575336958356345
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-983256.7964629516,29436071.395226363,-10667002.840141237,-57171.75517804042,120828.56944766187,-3150727.2167879753,1.049947092610255
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,254301.31781982747,-20208709.770186074,1133914.6156384982,-68512.62946438315,185760.53657590802,-9225317.320719114,0.7207179181562723
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,595112.3580523885,19528474.783782873,626036.3256083764,127913.80913722632,-252203.39465163913,-20445752.860769205,1.210386443512639
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,206426.01376472088,1666581.4480229393,27114643.474938907,-46605.460761606635,187302.13639644033,5477909.722130131,0.7071398842394958
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,153490.95686846226,10975290.470350724,-21534544.259113897,-241433.56224362899,-200829.4833940016,11278968.898883022,1.150872269236528
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,-458379.338076634,-25911771.317240175,-11206020.950852666,92724.87933065998,-15115.599214397836,-21334433.74881675,0.8393616499346206
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,-962219.409986122,9601011.25902604,-323503.27512892336,-75834.20851820405,232427.18544983288,-15082827.892348345,1.2018074044437619
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,609605.4022804291,27239098.82711902,29884798.739643425,-89984.28406494876,271285.44911317795,13849652.442409076,1.1936867719879787
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,-652200.616271898,-10799398.40852477,-414322.2816324085,-77380.08850917066,-79857.43734490275,8095608.455526225,0.6711136400541723
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,957328.7799128518,-21194122.315654214,22500867.884312324,235779.36711364402,176846.45784131612,-12036239.33957945,1.1798661217157838
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,761770.2243003612,14853341.254539434,9712816.1144806,61843.81728265877,-25502.34340330356,7215850.544194933,0.6820968249177538
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,234315.49518002197,-27421192.744653,20744564.42074497,-177300.2644137821,232783.1342808772,20240059.213275142,1.3852290282027893
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,-915473.7528902366,-5521065.363793846,-7729790.9266839735,-95575.7029319675,126559.06155699125,6743298.835692573,0.7593995882075436
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,-944950.3960627869,-5018730.4901425615,-10728077.690454561,-18747.859875009308,114100.33302923117,16155161.16456569,0.7794704607504293
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,998314.7742188058,-23393552.424212757,-23479783.428690918,-65636.61805134144,56353.356823649374,15178614.305355892,1.076843851766834
